CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,REPORTING_DISTRICT,DAY_OF_WEEK,POPULATION,PRIMARY_RD,SECONDARY_RD,INTERSECTION,WEATHER_1,STATE_HWY_IND,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,LIGHTING,CONTROL_DEVICE,BICYCLE_ACCIDENT,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,CITY
7198839,2016,2016-03-09,3711,2016-02-23,1117,,2,7,FARNHAM ST,RUFFIN RD,N,A,N,4,0,1,2,A,N,B,G,A,A,H,A,D,Y,,A,7,0,0,1,0,1,SAN DIEGO
5433759,2011,2013-01-30,3711,2011-12-10,1020,,6,7,LAURENTIAN DR,MEDIATRICE LN,N,A,N,3,0,1,1,A,N,H,A,A,A,A,A,D,Y,,L,4,0,1,0,0,1,SAN DIEGO
5889586,2012,2014-01-03,3711,2012-11-28,1618,,3,7,ADAMS AV,IOWA ST,N,A,N,3,0,1,3,A,N,H,G,A,A,H,A,D,Y,,-,- ,0,1,0,0,1,SAN DIEGO
91206497,2020,2020-03-11,9650,2020-03-08,1000,,7,9,CHAMPAGNE BLVD,DEER SPRINGS RD,N,B,N,3,0,1,1,A,N,F,A,A,B,H,A,D,Y,,L,4,0,1,0,0,1,UNINCORPORATED
4890452,2010,2011-10-05,3711,2010-08-13,1600,,5,7,FULLERTON AV,MARATHORN,Y,A,N,4,0,1,2,-,N,D,G,A,A,H,A,D,Y,,-,- ,0,0,1,0,1,SAN DIEGO
8455929,2017,2017-09-27,3711,2017-09-17,0,,7,7,E HARBOR DR,32ND ST,Y,A,N,3,0,1,2,C,N,D,G,A,A,E,A,B,Y,,-,- ,0,1,0,0,1,SAN DIEGO
4458029,2009,2010-07-09,3711,2009-10-31,818,,6,7,NORMAN SCOTT RD,32ND ST,Y,A,N,4,0,1,2,-,N,D,G,A,A,H,A,A,Y,,-,- ,0,0,1,0,1,SAN DIEGO
8502910,2017,2017-12-19,3711,2017-11-06,1240,,1,7,HARBOR DR,32ND ST,N,A,N,4,0,1,1,D,N,H,A,A,A,H,A,A,Y,,-,- ,0,0,1,0,1,SAN DIEGO
5721019,2012,2013-10-05,3711,2012-06-07,1415,,4,7,SOUTH 32ND ST,LOGAN AV,N,A,N,4,0,1,2,A,N,D,G,A,A,H,A,D,Y,,L,4,0,0,1,0,1,SAN DIEGO
5896662,2012,2014-01-03,3711,2012-11-01,620,,4,7,S 32 ND ST,S 32ND ST 1100,N,F,N,3,0,1,2,A,N,B,G,A,-,-,-,D,Y,,-,- ,0,1,0,0,1,SAN DIEGO
6442986,2014,2014-07-11,3711,2014-03-24,1128,,1,7,SOUTH 32ND ST,BOSTON AV,N,B,N,3,0,1,2,A,N,B,G,A,A,H,A,A,Y,Y,L,4,0,1,0,0,1,SAN DIEGO
6065878,2013,2014-04-02,3711,2013-05-10,2300,,5,7,UNIVERSITY AV,32ND ST,N,A,N,3,0,1,2,A,N,D,G,A,A,H,C,A,Y,,L,4,0,1,0,0,1,SAN DIEGO
6893225,2015,2015-05-01,3700,2015-03-28,1051,,6,4,PALM AV,4TH ST,Y,A,N,4,0,1,2,A,N,A,G,A,A,H,A,A,Y,,A,1,0,0,1,0,1,IMPERIAL BEACH
8404840,2018,2018-06-25,3700,2018-02-24,1715,,6,4,PALM AV,4TH ST,Y,A,N,1,1,0,2,A,N,G,G,A,A,H,A,D,Y,,-,,0,0,0,1,0,IMPERIAL BEACH
8875532,2019,2019-06-25,3711,2019-05-25,944,,6,7,MARKET ST,32ND ST,-,B,N,3,0,1,2,A,N,G,G,A,A,H,A,A,Y,,A,1,0,1,0,0,1,SAN DIEGO
9020395,2019,2020-01-08,3711,2019-11-30,1930,,6,7,32ND ST,G ST,Y,A,N,3,0,1,2,A,N,B,G,A,A,H,C,D,Y,,A,1,0,1,0,0,1,SAN DIEGO
8548755,2018,2018-02-15,3711,2018-02-04,2006,,7,7,32ND ST,F ST,Y,A,N,3,0,1,2,A,N,A,G,A,A,H,C,D,Y,,A,1,0,1,0,0,1,SAN DIEGO
6582332,2014,2014-08-18,3711,2014-07-31,2100,,4,7,MARKET,32ND,N,A,N,3,0,1,2,A,N,B,G,A,A,-,C,A,Y,,L,4,0,1,0,0,1,SAN DIEGO
5420789,2011,2013-02-08,3711,2011-12-06,2010,,2,7,MARKET ST,32ND ST,N,A,N,3,0,1,2,A,M,B,G,A,A,H,C,A,Y,,-,- ,0,1,0,0,1,SAN DIEGO
9017550,2020,2020-03-04,3711,2020-01-31,1655,,5,7,32ND ST,K ST,N,A,N,3,0,1,2,A,N,B,G,A,A,H,A,D,Y,,A,1,0,1,0,0,1,SAN DIEGO
5070952,2011,2012-03-26,3711,2011-02-13,1501,,7,7,LINCOLN AV,32ND ST,Y,A,N,3,0,1,2,A,N,D,G,A,A,H,A,A,Y,,A,1,0,1,0,0,1,SAN DIEGO
5538484,2012,2013-08-03,3711,2012-03-07,2055,,3,7,32ND ST,UNIVERSITY AV,Y,A,N,4,0,1,2,A,N,D,G,A,A,H,C,A,Y,,A,1,0,0,1,0,1,SAN DIEGO
6680468,2014,2014-12-12,3711,2014-10-17,2044,,5,7,UNIVERSITY AV,32ND ST,Y,A,N,3,0,1,2,A,N,A,G,A,A,H,C,A,Y,Y,L,4,0,1,0,0,1,SAN DIEGO
6909242,2015,2015-05-15,3711,2015-04-30,1935,,4,7,UNIVERSITY,32ND ST,Y,-,N,4,0,1,2,A,N,D,G,A,-,-,-,A,Y,,-,,0,0,1,0,1,SAN DIEGO
8509134,2017,2017-12-15,3711,2017-11-29,1346,,3,7,32RD ST,UNIVERSITY AV,Y,A,N,4,0,1,2,A,N,D,G,A,A,H,A,A,Y,,A,7,0,0,1,0,1,SAN DIEGO
8787643,2019,2019-02-02,3711,2019-01-10,821,,4,7,32ND ST,OCEAN VIEW BL,N,A,N,3,0,1,2,A,M,H,G,A,A,H,A,D,Y,Y,-,99,0,1,0,0,1,SAN DIEGO
5495624,2012,2013-06-12,3711,2012-01-09,1840,,1,7,GEMINI AV,BLACK MOUNTAIN RD,N,A,N,4,0,1,2,A,N,D,G,A,A,H,C,A,Y,,L,4,0,0,1,0,1,SAN DIEGO
9059699,2020,2020-06-08,3706,2020-02-11,740,ESCON,2,6,COUNTRY CLUB LN,RUBY RD,Y,A,N,3,0,1,2,A,N,H,G,A,A,H,A,D,Y,,A,1,0,1,0,0,1,ESCONDIDO
5512847,2012,2013-06-21,3711,2012-01-19,2017,,4,7,BLACK MOUNTAIN RD,GEMINI AV,Y,A,N,3,0,1,2,A,N,G,G,A,A,H,C,A,Y,,-,- ,0,1,0,0,1,SAN DIEGO
5748900,2012,2013-10-26,3711,2012-07-25,2050,MCC,3,7,LINCOLN AV,32ND ST,N,A,N,3,0,1,1,C,N,H,J,A,A,H,C,-,Y,,-,- ,0,1,0,0,1,SAN DIEGO
5178246,2011,2012-07-10,3711,2011-05-03,700,,2,7,BLACK MOUNTAIN RD,GEMINI AV,Y,A,N,4,0,1,2,A,N,G,B,A,A,H,A,A,Y,,A,8,0,0,1,0,1,SAN DIEGO
9163564,2020,2020-11-30,3711,2020-09-30,1705,,3,7,GEMINI,BLACK MOUNTAIN RD,Y,A,N,4,0,1,2,A,N,H,G,A,A,H,B,A,Y,,-,,0,0,1,0,1,SAN DIEGO
5056710,2011,2012-03-23,3711,2011-02-01,900,,2,7,BLACK MOUNTAIN RD,ROCKFIELD DR,N,A,N,4,0,1,2,A,M,B,G,A,A,H,A,A,Y,,-,- ,0,0,1,0,1,SAN DIEGO
